Employee ID,First Name,Last Name,Email,Phone Number,Department,Position,Salary,Date of Joining,Location
0,E7000,Danielle,Smith,gabrieltucker@hancock.com,(270)289-5171x8702,IT,Specialist,36630,2016-03-05,Stevenside
1,E1001,Angel,Le,gallowayjoseph@yahoo.com,(217)459-6158x65780,HR,Coordinator,115477,2017-02-16,Patelbury
2,E1002,Joshua,Maldonado,uhorton@hotmail.com,+1-134-316-1172x400,Sales,Analyst,100855,2023-01-13,South Michael
3,E1003,Jeffrey,Herrera,jamesrobinson@gmail.com,045-562-3869x22219,Marketing,Manager,139579,2020-05-03,Jacobville
4,E1004,Jill,Adams,brian97@calhoun.net,(937)923-7474x0748,Marketing,Executive,31934,2017-11-01,Port Donnatown
5,E1005,Erica,Davidson,caseyjones@powell.com,(175)946-4743,Finance,Analyst,42224,2022-01-06,East Carlos
6,E1006,Patricia,Rodriguez,barnesbrandy@stewart.com,(713)695-9440x6409,IT,Consultant,128771,2023-09-01,South Carlaton
7,E1007,Christopher,Graham,randy47@hickman-walls.com,+1-097-439-5339x42104,IT,Executive,141240,2020-05-29,Lake Bradley
8,E1008,Robert,Chavez,jonesjason@yahoo.com,095.214.5623x285,R&D,Analyst,60982,2017-02-11,Youngborough
9,E1009,Anthony,Mckay,nicole35@moore-bass.com,842.474.5171x23685,HR,Specialist,51798,2020-02-20,East Williamport
10,E1010,Jeffery,Liu,sarah12@wilson-rodriguez.net,604-817-5496,HR,Team Lead,83269,2021-05-15,Port Sabrina
11,E1011,William,Baker,juan35@watts.net,+1-513-709-8593x1746,IT,Coordinator,93653,2018-11-16,Barbaramouth
12,E1012,Anthony,Mason,rebecca01@hotmail.com,200-471-1382,Marketing,Manager,93092,2018-11-05,West Nancy
13,E1013,James,White,bradley52@hotmail.com,(758)692-6179x6405,Marketing,Analyst,58016,2017-05-22,South Kevin
14,E1014,Debra,Gaines,joycearnold@yahoo.com,773.515.8506,HR,Team Lead,143331,2023-04-03,New Stacyburgh
15,E1015,Amy,Harrell,jonesnicole@gardner.org,317-139-0053x293,Marketing,Executive,82565,2017-09-21,Peterston
16,E1016,Jeffrey,Evans,tanderson@nolan-flynn.com,839-335-2904,R&D,Analyst,148284,2022-11-10,Shellyfurt
17,E1017,Bridget,Fowler,evelynestrada@yahoo.com,(284)210-2053,Marketing,Intern,37685,2021-06-22,Heatherchester
18,E1018,Lisa,Lynch,sarayoung@gmail.com,001-502-402-6811,Customer Support,Team Lead,51579,2022-03-11,West Nicholas
19,E1019,Adam,Hernandez,vjohnson@patton-jenkins.com,758.917.8390x8470,Sales,Consultant,79672,2024-06-17,Allenbury
20,E1020,Linda,Farmer,kristinrodriguez@gmail.com,7661771159,HR,Team Lead,30282,2023-02-16,Meredithberg
21,E1021,Helen,Ryan,jamessellers@yahoo.com,(124)998-5698,Finance,Manager,81173,2024-04-06,Melendezside
22,E1022,Matthew,Osborne,jeffreykeller@yahoo.com,789-611-8367x3657,R&D,Consultant,64760,2018-11-01,Faulknerside
23,E1023,Eric,Moreno,michelle45@hotmail.com,(615)654-5271x1116,Operations,Coordinator,132769,2019-04-30,South John
24,E1024,Susan,Smith,sheila14@gmail.com,528-098-8516,Sales,Manager,132908,2016-07-05,West Deborah
25,E1025,Matthew,Nguyen,rodriguezryan@hotmail.com,(604)945-1983x273,Finance,Executive,89638,2024-01-22,Booneland
26,E1026,Christopher,Smith,gobrien@gmail.com,585-149-3689,Marketing,Consultant,67388,2022-09-19,North Joseph
